PLAYER_NAME,BORN,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_COLLEGE,COUNTRY,DRAFT_YEAR,
Royce O'Neale,1,1,college,DE,19912-1990,1,1,college,DE,1991
Bojan Bogdanovic,1,1,college,DE,19912-1990,1,1,college,DE,1991
Rudy Gobert,1,1,college,DE,19912-1990,1,1,college,DE,1991
Donovan Mitchell,1,1,college,DE,19912-1990,1,1,college,DE,1991
Mike Conley,1,1,college,DE,19912-1990,1,1,college,DE,1991
Joe Ingles,1,1,college,DE,19912-1990,1,1,college,DE,1991
Ed Davis,1,1,college,DE,19912-1990,1,1,college,DE,1991
Jeff Green,1,1,college,DE,19912-1990,1,1,college,DE,1991
Dante Exum,1,1,college,DE,19912-1990,1,1,college,DE,1991
Emmanuel Mudiay,1,1,college,DE,19912-1990,1,1,college,DE,1991
Georges Niang,1,1,college,DE,19912-1990,1,1,college,DE,1991
Tony Bradley,1,1,college,DE,19912-1990,1,1,college,DE,1991
Nigel Williams-Goss,1,1,college,DE,19912-1990,1,1,college,DE,1991
Tobias Harris,1,1,college,DE,19912-1990,1,1,college,DE,1991
Al Horford,1,1,college,DE,19912-1990,1,1,college,DE,1991
Joel Embiid,1,1,college,DE,19912-1990,1,1,college,DE,1991
Furkan Korkmaz,1,1,college,DE,19912-1990,1,1,college,DE,1991
Ben Simmons,1,1,college,DE,19912-1990,1,1,college,DE,1991
James Ennis III,1,1,college,DE,19912-1990,1,1,college,DE,1991
Mike Scott,1,1,college,DE,19912-1990,1,1,college,DE,1991
Raul Neto,1,1,college,DE,19912-1990,1,1,college,DE,1991
Matisse Thybulle,1,1,college,DE,19912-1990,1,1,college,DE,1991
Shake Milton,1,1,college,DE,19912-1990,1,1,college,DE,1991
Kyle O'Quinn,1,1,college,DE,19912-1990,1,1,college,DE,1991
Norvel Pelle,1,1,college,DE,19912-1990,1,1,college,DE,1991
Kevin Knox II,1,1,college,DE,19912-1990,1,1,college,DE,1991
Julius Randle,1,1,college,DE,19912-1990,1,1,college,DE,1991
Taj Gibson,1,1,college,DE,19912-1990,1,1,college,DE,1991
RJ Barrett,1,1,college,DE,19912-1990,1,1,college,DE,1991
Dennis Smith Jr.,1,1,college,DE,19912-1990,1,1,college,DE,1991
Wayne Ellington,1,1,college,DE,19912-1990,1,1,college,DE,1991
Mitchell Robinson,1,1,college,DE,19912-1990,1,1,college,DE,1991
Damyean Dotson,1,1,college,DE,19912-1990,1,1,college,DE,1991
Bobby Portis,1,1,college,DE,19912-1990,1,1,college,DE,1991
Allonzo Trier,1,1,college,DE,19912-1990,1,1,college,DE,1991
Ignas Brazdeikis,1,1,college,DE,19912-1990,1,1,college,DE,1991
Kadeem Allen,1,1,college,DE,19912-1990,1,1,college,DE,1991
Khris Middleton,1,1,college,DE,19912-1990,1,1,college,DE,1991
Giannis Antetokounmpo,1,1,college,DE,19912-1990,1,1,college,DE,1991
Robin Lopez,1,1,college,DE,19912-1990,1,1,college,DE,1991
Wesley Matthews,1,1,college,DE,19912-1990,1,1,college,DE,1991
Eric Bledsoe,1,1,college,DE,19912-1990,1,1,college,DE,1991
Donte DiVincenzo,1,1,college,DE,19912-1990,1,1,college,DE,1991
Ersan Ilyasova,1,1,college,DE,19912-1990,1,1,college,DE,1991
Pat Connaughton,1,1,college,DE,19912-1990,1,1,college,DE,1991
George Hill,1,1,college,DE,19912-1990,1,1,college,DE,1991
D.J. Wilson,1,1,college,DE,19912-1990,1,1,college,DE,1991
Kyle Korver,1,1,college,DE,19912-1990,1,1,college,DE,1991
Dragan Bender,1,1,college,DE,19912-1990,1,1,college,DE,1991
Thanasis Antetokounmpo,1,1,college,DE,19912-1990,1,1,college,DE,1991
Kris Dunn,1,1,college,DE,19912-1990,1,1,college,DE,1991
Lauri Markkanen,1,1,college,DE,19912-1990,1,1,college,DE,1991
Wendell Carter Jr.,1,1,college,DE,1991,1,1,college,DE,1991$,1,1,college,DE,19912-1990,1,1,college,DE,1991
Zach LaVine,1,1,college,DE,19912-1990,1,1,college,DE,1991
Tomas Satoransky,1,1,college,DE,19912-1990,1,1,college,DE,1991
Coby White,1,1,college,DE,19912-1990,1,1,college,DE,1991
Thaddeus Young,1,1,college,DE,19912-1990,1,1,college,DE,1991
Ryan Arcidiacono,1,1,college,DE,19912-1990,1,1,college,DE,1991
Denzel Valentine,1,1,college,DE,19912-1990,1,1,college,DE,1991
Daniel Gafford,1,1,college,DE,19912-1990,1,1,college,DE,1991
Shaquille Harrison,1,1,college,DE,19912-1990,1,1,college,DE,1991
Luke Kornet,1,1,college,DE,19912-1990,1,1,college,DE,1991
Max Strus,1,1,college,DE,19912-1990,1,1,college,DE,1991
Harrison Barnes,1,1,college,DE,19912-1990,1,1,college,DE,1991
Nemanja Bjelica,1,1,college,DE,19912-1990,1,1,college,DE,1991
Richaun Holmes,1,1,college,DE,19912-1990,1,1,college,DE,1991
Buddy Hield,1,1,college,DE,19912-1990,1,1,college,DE,1991
Cory Joseph,1,1,college,DE,19912-1990,1,1,college,DE,1991
Bogdan Bogdanovic,1,1,college,DE,19912-1990,1,1,college,DE,1991
Justin James,1,1,college,DE,19912-1990,1,1,college,DE,1991
Trevor Ariza,1,1,college,DE,19912-1990,1,1,college,DE,1991
Dewayne Dedmon,1,1,college,DE,19912-1990,1,1,college,DE,1991
Yogi Ferrell,1,1,college,DE,19912-1990,1,1,college,DE,1991
Harry Giles III,1,1,college,DE,19912-1990,1,1,college,DE,1991
Kyle Guy,1,1,college,DE,19912-1990,1,1,college,DE,1991
Caleb Swanigan,1,1,college,DE,19912-1990,1,1,college,DE,1991
